AREA_cm2,LDMC,SLA,HEIGHT_cm
0.3997,0.4684126984,164.7083333333,4.024
1.804,0.2317357584,155.8953974096,4.596
6.8957,0.2383222443,124.9573688454,6.844
4.1565,0.3528008677,87.3347694083,8.88
0.8016,0.2324586374,203.7461111111,5.692
1.5232,0.3815898953,133.9318689644,3.944
0.2253,0.2810518207,224.7617370892,2.072
0.1002,0.1944444444,143.1428571429,0.72
1.3689,0.2781654962,123.2693070818,4.24
0.539,0.4151840806,105.7979761905,5.844
4.9463,0.3252404083,97.9691924095,4.904
0.9142,0.4284759327,85.3244095108,6.708
1.9746,0.2014395413,117.1230213264,5.856
1.4664,0.2734767829,176.6620075758,5.328
1.4333,0.2909356303,106.7663561077,4.3
2.0154,0.2699658945,148.818552428,2.64
1.4018,0.2668678632,97.9992851593,3.876
0.1423,0,0,0.888
0.8172,0.3316591742,175.4458333333,6.936
1.1198,0.2166494369,105.1677955249,3.436
4.8737,0.2747846652,98.6232336393,5.404
0.9887,0.2836928957,133.6542712843,2.684
1.3812,0.3239016973,131.5043317793,2.972
0.7233,0.2997141626,161.9516666667,1.604
